movieId,title,genres,title_name,title_name_tokens,title_mapped
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,Toy Story,"{'story', 'toy'}",Toy Story
2,Jumanji (1995),Adventure|Children|Fantasy,Jumanji,{'jumanji'},Jumanji
3,Grumpier Old Men (1995),Comedy|Romance,Grumpier Old Men,"{'grumpier', 'men', 'old'}",Grumpier Old Men
4,Waiting to Exhale (1995),Comedy|Drama|Romance,Waiting to Exhale,"{'to', 'exhale', 'waiting'}",Waiting to Exhale
5,Father of the Bride Part II (1995),Comedy,Father of the Bride Part II,"{'of', 'bride', 'ii', 'part', 'father'}",Father of the Bride Part II
6,Heat (1995),Action|Crime|Thriller,Heat,{'heat'},Heat
7,Sabrina (1995),Comedy|Romance,Sabrina,{'sabrina'},Sabrina
8,Tom and Huck (1995),Adventure|Children,Tom and Huck,"{'tom', 'huck', 'and'}",Tom and Huck
9,Sudden Death (1995),Action,Sudden Death,"{'death', 'sudden'}",Sudden Death
10,GoldenEye (1995),Action|Adventure|Thriller,GoldenEye,{'goldeneye'},GoldenEye
11,"American President, The (1995)",Comedy|Drama|Romance,"American President, The","{'american', 'president'}",The American President
12,Dracula: Dead and Loving It (1995),Comedy|Horror,Dracula: Dead and Loving It,"{'it', 'loving', 'and', 'dead', 'dracula'}",Dracula: Dead and Loving It
13,Balto (1995),Adventure|Animation|Children,Balto,{'balto'},Balto
14,Nixon (1995),Drama,Nixon,{'nixon'},Nixon
15,Cutthroat Island (1995),Action|Adventure|Romance,Cutthroat Island,"{'cutthroat', 'island'}",Cutthroat Island
16,Casino (1995),Crime|Drama,Casino,{'casino'},Casino
17,Sense and Sensibility (1995),Drama|Romance,Sense and Sensibility,"{'sensibility', 'sense', 'and'}",Sense and Sensibility
18,Four Rooms (1995),Comedy,Four Rooms,"{'rooms', 'four'}",Four Rooms
19,Ace Ventura: When Nature Calls (1995),Comedy,Ace Ventura: When Nature Calls,"{'when', 'calls', 'nature', 'ventura', 'ace'}",Ace Ventura: When Nature Calls
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,Money Train,"{'money', 'train'}",Money Train
21,Get Shorty (1995),Comedy|Crime|Thriller,Get Shorty,"{'get', 'shorty'}",Get Shorty
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,Copycat,{'copycat'},Copycat
23,Assassins (1995),Action|Crime|Thriller,Assassins,{'assassins'},Assassins
24,Powder (1995),Drama|Sci-Fi,Powder,{'powder'},Powder
25,Leaving Las Vegas (1995),Drama|Romance,Leaving Las Vegas,"{'las', 'vegas', 'leaving'}",Leaving Las Vegas
26,Othello (1995),Drama,Othello,{'othello'},Othello
27,Now and Then (1995),Children|Drama,Now and Then,"{'then', 'now', 'and'}",Now and Then
28,Persuasion (1995),Drama|Romance,Persuasion,{'persuasion'},Persuasion
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,"City of Lost Children, The (Cité des enfants perdus, La)","{'of', 'city', 'la', 'perdus', 'enfants', 'cité', 'des', 'lost', 'children'}",The City of Lost Children
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,Shanghai Triad (Yao a yao yao dao waipo qiao),"{'qiao', 'yao', 'triad', 'dao', 'waipo', 'shanghai'}",Shanghai Triad
31,Dangerous Minds (1995),Drama,Dangerous Minds,"{'minds', 'dangerous'}",Dangerous Minds
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,Twelve Monkeys (a.k.a. 12 Monkeys),"{'twelve', '12', 'aka', 'monkeys'}",Twelve Monkeys
34,Babe (1995),Children|Drama,Babe,{'babe'},Babe
36,Dead Man Walking (1995),Crime|Drama,Dead Man Walking,"{'dead', 'walking', 'man'}",Dead Man Walking
38,It Takes Two (1995),Children|Comedy,It Takes Two,"{'two', 'it', 'takes'}",It Takes Two
39,Clueless (1995),Comedy|Romance,Clueless,{'clueless'},Clueless
40,"Cry, the Beloved Country (1995)",Drama,"Cry, the Beloved Country","{'country', 'beloved', 'cry'}","Cry, the Beloved Country"
41,Richard III (1995),Drama|War,Richard III,"{'richard', 'iii'}",Richard III
42,Dead Presidents (1995),Action|Crime|Drama,Dead Presidents,"{'dead', 'presidents'}",Dead Presidents
43,Restoration (1995),Drama,Restoration,{'restoration'},Restoration
44,Mortal Kombat (1995),Action|Adventure|Fantasy,Mortal Kombat,"{'mortal', 'kombat'}",Mortal Kombat
45,To Die For (1995),Comedy|Drama|Thriller,To Die For,"{'to', 'die', 'for'}",To Die For
46,How to Make an American Quilt (1995),Drama|Romance,How to Make an American Quilt,"{'american', 'to', 'make', 'quilt', 'how'}",How To Make An American Quilt
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,Seven (a.k.a. Se7en),"{'aka', 'seven', 'se7en'}",Se7en
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,Pocahontas,{'pocahontas'},Pocahontas
49,When Night Is Falling (1995),Drama|Romance,When Night Is Falling,"{'night', 'falling', 'when', 'is'}",When Night Is Falling
